Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Address_Line_5,POSTCODE,Street_In_Postcode
4 WORKSHOP,PERCY ROAD,DARLINGTON,nan,nan,DL3 0RX,Yes
SAXON HOUSE,HENSON WAY,TELFORD WAY INDUSTRIAL ESTATE,KETTERING,NN16 8PX,NN16 8PX,Yes
SAXON HOUSE,HENSON WAY,TELFORD WAY INDUSTRIAL ESTATE,KETTERING,NN16 8PX,NN16 8PX,No
SAXON HOUSE,HENSON WAY,TELFORD WAY INDUSTRIAL ESTATE,KETTERING,NN16 8PX,NN16 8PX,No
SAXON HOUSE,HENSON WAY,TELFORD WAY INDUSTRIAL ESTATE,KETTERING,NN16 8PX,NN16 8PX,No
SAXON HOUSE,HENSON WAY,TELFORD WAY INDUSTRIAL ESTATE,KETTERING,NN16 8PX,NN16 8PX,No
1 QUARRY ROAD,NORTHAMPTON,NN5 6NT,nan,nan,NN5 6NT,No
UNIT 17,MAITLAND ROAD,NEEDHAM MARKET,IPSWICH,IP6 8NZ,IP6 8NZ,Yes
UNIT 17,MAITLAND ROAD,NEEDHAM MARKET,IPSWICH,IP6 8NZ,IP6 8NZ,No
NORTH MALTING THE MALTINGS,FELAW STREET,IPSWICH,IP2 8HD,nan,IP2 8HD,Yes
19-21 REGENT STREET,nan,nan,nan,CAMBRIDGE,CB2 1AB,No
UNIT 3 RIVERSIDE HOUSE,24 LOWER SOUTHEND ROAD,WICKFORD,nan,nan,SS11 8AW,No
WORKSHOP JOHNS AUTOS,TEMPERANCE PLACE,DARLINGTON,nan,nan,DL3 6LP,Yes
WORKSHOP JOHNS AUTOS,TEMPERANCE PLACE,DARLINGTON,nan,nan,DL3 6LP,No
WEMBLEY GARDENS,nan,CAMBOIS,BLYTH,nan,NE24 1RZ,Yes
SITE 4/5,COQUET ENTERPRISE PARK,AMBLE,MORPETH,nan,NE65 0PE,Yes
SITE 4/5,COQUET ENTERPRISE PARK,AMBLE,MORPETH,nan,NE65 0PE,No
SITE 4/5,COQUET ENTERPRISE PARK,AMBLE,MORPETH,nan,NE65 0PE,No
SHOP,68 EASTBOURNE ROAD,MIDDLESBROUGH,nan,nan,TS5 6QL,No
UNIT 3,ALBERT ROAD,RUSHDEN,NN10 0BU,nan,NN10 0BU,Yes
3 CARR STREET,BLYTH,nan,nan,nan,NE24 4NG,No
3 CARR STREET,BLYTH,nan,nan,nan,NE24 4NG,No
LINCOLN ROAD,NETTLEHAM,LINCOLN,LN2 2NE,nan,LN2 2NE,Yes
"1 Church Lane, Field",nan,nan,nan,nan,CO3 8PB,No
"1 Church Lane, Field",nan,nan,nan,nan,CO3 8PB,No
IN WAREHOUSE,ATLAS RD,nan,LONDON,nan,NW10 6DD,No
CHARFLEETS ROAD,nan,nan,CANVEY ISLAND,nan,SS8 0SG,Yes
Crackenedge Lane,Dewsbury,West Yorkshire ,nan,nan,WF13 1PT,No
TOILETS & PREMISES,PARK ROAD,ASHINGTON,nan,nan,NE63 9NF,No
SHOP,66 STATION ROAD,UPMINSTER,nan,nan,RM14 2TD,No
IMPERIAL WAY,nan,WATFORD,HERTFORDHSIRE,nan,WD24 4LQ,Yes
Trough Field Supply,Delgate Bank,Weston Hills,SPALDING,nan,PE12 6DW,No
Brankley House,Plot 6,Far End,Boothby Graffoe,LINCOLN,LN5 0LG,No
UNIT 7 CLIFFSIDE TRADE PARK,MOTHERWELL WAY,GRAYS,nan,nan,RM20 3XD,Yes
UNIT 7 CLIFFSIDE TRADE PARK,MOTHERWELL WAY,GRAYS,nan,nan,RM20 3XD,No
SOUTHWICK GOLD GLOVES 1ST FLR,24 THE GREEN,SOUTHWICK,SUNDERLAND,nan,SR5 2JE,No
SOUTHWICK GOLD GLOVES 1ST FLR,24 THE GREEN,SOUTHWICK,SUNDERLAND,nan,SR5 2JE,No
5 WOODSIDE PARADE,257 WOODSIDE,LEIGH ON SEA,nan,nan,SS9 4SS,No
185 FELIXSTOWE ROAD,IPSWICH,IP3 9BJ,nan,nan,IP3 9BJ,No
185 FELIXSTOWE ROAD,IPSWICH,IP3 9BJ,nan,nan,IP3 9BJ,No
2 CORNWALLIS ROAD,nan,nan,nan,LINCOLN,LN3 4PD,No
